"","Country","Year","Sales of cigarettes per adult per day"
"92","Australia",2000,4.900000095
"93","Australia",2001,4.5
"94","Australia",2002,4.300000191
"95","Australia",2003,4.5
"96","Australia",2004,4.300000191
"97","Australia",2005,4.199999809
"98","Australia",2006,4.099999905
"99","Australia",2007,4.099999905
"100","Australia",2008,4.199999809
"101","Australia",2009,4.099999905
"102","Australia",2010,4
"180","Austria",2000,6.5
"181","Austria",2001,6.300000191
"182","Austria",2002,4.800000191
"183","Austria",2003,4.599999905
"184","Austria",2004,4.599999905
"286","Belgium",2000,7
"287","Belgium",2001,6.199999809
"288","Belgium",2002,7
"289","Belgium",2003,7
"290","Belgium",2004,6.699999809
"291","Belgium",2005,6.5
"292","Belgium",2006,6.800000191
"293","Belgium",2007,6
"294","Belgium",2008,5.5
"295","Belgium",2009,5.699999809
"296","Belgium",2010,6.300000191
"297","Belgium",2011,5.199999809
"343","Bulgaria",2000,7.599999905
"344","Bulgaria",2001,7.800000191
"345","Bulgaria",2002,8.899999619
"346","Bulgaria",2003,10
"347","Bulgaria",2004,9.399999619
"348","Bulgaria",2007,8.100000381
"349","Bulgaria",2008,8.800000191
"350","Bulgaria",2009,8.300000191
"351","Bulgaria",2010,6.599999905
"352","Bulgaria",2011,5.699999809
"353","Bulgaria",2012,5.800000191
"354","Bulgaria",2013,6
"355","Bulgaria",2014,5.900000095
"436","Canada",2000,5.300000191
"437","Canada",2001,5
"438","Canada",2002,4.400000095
"439","Canada",2003,4.199999809
"440","Canada",2004,4
"441","Canada",2005,3.700000048
"442","Canada",2006,3.400000095
"443","Canada",2007,3.200000048
"444","Canada",2008,3
"445","Canada",2009,3.099999905
"446","Canada",2010,3.5
"454","Croatia",2000,6.400000095
"455","Croatia",2001,6.300000191
"456","Croatia",2002,5.5
"457","Croatia",2003,5.400000095
"458","Croatia",2004,4.900000095
"459","Croatia",2005,5.400000095
"460","Croatia",2006,5.900000095
"461","Croatia",2007,6.5
"462","Croatia",2008,6.099999905
"463","Croatia",2009,4.300000191
"464","Croatia",2010,4.900000095
"465","Croatia",2011,5
"466","Croatia",2012,5
"467","Croatia",2013,4.699999809
"486","Czechia",2000,6.199999809
"487","Czechia",2001,5.400000095
"488","Czechia",2002,6.199999809
"489","Czechia",2003,7.5
"490","Czechia",2004,7.599999905
"491","Czechia",2005,7.599999905
"492","Czechia",2006,6.400000095
"493","Czechia",2007,6.699999809
"494","Czechia",2008,6.300000191
"495","Czechia",2009,6
"496","Czechia",2010,5.5
"497","Czechia",2011,5.099999905
"498","Czechia",2012,5.300000191
"499","Czechia",2013,4.099999905
"500","Czechia",2014,4.400000095
"631","Denmark",2000,6.400000095
"632","Denmark",2001,6.199999809
"633","Denmark",2002,6.099999905
"634","Denmark",2003,6.400000095
"635","Denmark",2004,6.300000191
"636","Denmark",2005,5.900000095
"637","Denmark",2006,6
"638","Denmark",2007,5.599999905
"639","Denmark",2008,5.5
"640","Denmark",2009,5.5
"641","Denmark",2010,5.400000095
"654","Estonia",2000,4.800000191
"655","Estonia",2001,5.099999905
"656","Estonia",2002,5.5
"657","Estonia",2003,5.099999905
"658","Estonia",2004,5.400000095
"659","Estonia",2005,5.599999905
"660","Estonia",2006,5.199999809
"661","Estonia",2007,5.300000191
"662","Estonia",2008,5.099999905
"663","Estonia",2009,5.099999905
"664","Estonia",2010,4.800000191
"665","Estonia",2011,4.599999905
"666","Estonia",2012,4.699999809
"667","Estonia",2013,4.5
"668","Estonia",2014,4.5
"749","Finland",2000,4
"750","Finland",2001,4.199999809
"751","Finland",2002,4.199999809
"752","Finland",2003,4
"753","Finland",2004,4
"754","Finland",2005,4.099999905
"755","Finland",2006,4
"756","Finland",2007,3.900000095
"757","Finland",2008,5.099999905
"758","Finland",2009,2.900000095
"846","France",2000,5.099999905
"847","France",2001,5.199999809
"848","France",2002,4.900000095
"849","France",2003,4.300000191
"850","France",2004,3.5
"851","France",2005,3.5
"852","France",2006,3.5
"853","France",2007,3.5
"854","France",2008,3.400000095
"855","France",2009,3.5
"856","France",2010,3.5
"940","Germany",2000,6.099999905
"941","Germany",2001,6.199999809
"942","Germany",2002,6.300000191
"943","Germany",2003,5.900000095
"944","Germany",2004,5.199999809
"945","Germany",2005,5
"946","Germany",2006,4.5
"947","Germany",2007,4.400000095
"948","Germany",2008,4.199999809
"949","Germany",2009,4.300000191
"950","Germany",2010,4.199999809
"951","Germany",2011,4.400000095
"952","Germany",2012,4.199999809
"953","Germany",2013,4.099999905
"954","Germany",2014,4.099999905
"955","Germany",2015,4.199999809
"1036","Greece",2000,9.899999619
"1037","Greece",2001,10.30000019
"1038","Greece",2002,9.800000191
"1039","Greece",2003,10.10000038
"1040","Greece",2004,10.69999981
