"","CauseOfDeath","NumberOfDeath"
"1","Outdoor Air Pollution Age",26298526
"2","High systolic blood pressure",63948236
"3","Diet High in sodium",11159561
"4","Diet low in whole grains",10900754
"5","Alcohol use",14580012
"6","Diet low in fruits",6137847
"7","Unsafe water source",6729834
"8","Secondhand smoke",7627556
"9","Low birth weight",9132954
"10","Child wasting",5205356
"11","Household air pollution from solid fuels",12666348
"12","Smoking",46437199
"13","High fasting plasma glucose",38576633
"14","Air pollution",38095802
"15","High body-mass index",29796826
