Country,Year,male_death_rate,female_death_rate
Albania,1987,38.99,5.95
Albania,1988,41.27,6.97
Albania,1989,36.56,4.42
Albania,1992,29.7,5.68
Albania,1993,27.44,5.41
Albania,1994,23.65,5.54
Albania,1995,36.64,6.23
Albania,1996,39.12,8.27
Albania,1997,40.96,8.13
Albania,1998,39.86,8.48
Albania,1999,40.81,8.4
Albania,2000,39.09,8.5
Albania,2001,30.61,6.68
Albania,2002,34,9.25
Albania,2003,36.8,9.51
Albania,2004,32.13,8.95
Albania,2005,28.65,6.38
Albania,2006,28.07,7.28
Albania,2007,25.83,5.45
Albania,2008,29.83,6.55
Albania,2009,27.84,6.85
Albania,2010,19.26,0.51
Antigua and Barbuda,1961,5.18,0
Antigua and Barbuda,1962,0,0
Antigua and Barbuda,1963,14.92,17.43
Antigua and Barbuda,1964,19.19,0
Antigua and Barbuda,1966,11.05,7.71
Antigua and Barbuda,1969,14.89,3.72
Antigua and Barbuda,1970,23.33,0
Antigua and Barbuda,1971,31.78,41.62
Antigua and Barbuda,1972,25.96,4.12
Antigua and Barbuda,1973,1.96,7.46
Antigua and Barbuda,1974,4.25,4.1
Antigua and Barbuda,1975,13.27,3.57
Antigua and Barbuda,1976,0,0
Antigua and Barbuda,1977,0,0
Antigua and Barbuda,1978,4.98,3.8
Antigua and Barbuda,1983,0,0
Antigua and Barbuda,1985,4.28,3.19
Antigua and Barbuda,1986,12.72,0
Antigua and Barbuda,1987,8.29,0
Antigua and Barbuda,1988,18.14,15.99
Antigua and Barbuda,1989,7.47,3.22
Antigua and Barbuda,1990,25.01,3.75
Antigua and Barbuda,1991,5.42,3.86
Antigua and Barbuda,1992,24.36,11.28
Antigua and Barbuda,1993,3.29,3.32
Antigua and Barbuda,1994,11.31,0
Antigua and Barbuda,1995,21.33,3.35
Antigua and Barbuda,1998,7.61,0
Antigua and Barbuda,1999,17.96,7.31
Antigua and Barbuda,2000,7.59,6.43
Antigua and Barbuda,2001,2.91,2.96
Antigua and Barbuda,2002,0,2.97
Antigua and Barbuda,2003,14.02,2.18
Antigua and Barbuda,2004,3.57,3.11
Antigua and Barbuda,2005,8.77,2.79
Antigua and Barbuda,2006,8.19,2.52
Antigua and Barbuda,2007,11.28,6.59
Antigua and Barbuda,2008,5.05,4.58
Antigua and Barbuda,2009,23.53,3.85
Antigua and Barbuda,2012,18.12,2.2
Antigua and Barbuda,2013,4.64,2.23
Antigua and Barbuda,2014,1.89,4.11
Antigua and Barbuda,2015,4.36,0
Antigua and Barbuda,2016,16.83,1.91
Antigua and Barbuda,2017,8.37,1.93
Argentina,1966,44.43,5.67
Argentina,1967,50.98,6.15
Argentina,1968,52.27,7.43
Argentina,1969,52.59,7.06
Argentina,1970,52.6,6.64
Argentina,1977,46.37,6.26
Argentina,1978,47.01,6.35
Argentina,1979,46.25,6.13
Argentina,1980,48.43,5.95
Argentina,1981,49.64,6.34
Argentina,1982,42.52,6.17
Argentina,1983,44.43,6.27
Argentina,1984,45.2,6.66
Argentina,1985,44.69,6.16
Argentina,1986,43.59,6.13
Argentina,1987,46.12,6.43
Argentina,1988,44.15,6.84
Argentina,1989,43.57,6.67
Argentina,1990,41.63,6.62
Argentina,1991,44.36,7.17
Argentina,1992,42.6,7.05
Argentina,1993,42.34,7.21
Argentina,1994,42.55,7.36
Argentina,1995,41.49,7.23
Argentina,1996,41.65,7.4
Argentina,1997,40.57,7.33
Argentina,1998,40.71,8.03
Argentina,1999,40.84,8.03
Argentina,2000,39.49,7.66
Argentina,2001,36.77,7.89
Argentina,2002,36.11,8.04
Argentina,2003,36.06,8.25
Argentina,2004,35.18,8.71
Argentina,2005,34.58,8.71
Argentina,2006,35.04,9.1
Argentina,2007,33.99,9.1
Argentina,2008,33.33,9.33
Argentina,2009,32.48,9.49
Argentina,2010,31.72,9.59
Argentina,2011,31.57,10.04
Argentina,2012,30.61,9.99
Argentina,2013,29.42,10.43
Argentina,2014,28.71,10.62
Argentina,2015,29.57,10.69
Argentina,2016,27.84,10.5
Argentina,2017,27.18,10.48
Argentina,2018,25.88,10.11
Argentina,2019,24.76,10.4
Armenia,1981,35.92,4.69
Armenia,1982,35.65,5.5
Armenia,1985,41.22,6.31
Armenia,1986,40.98,7.2
Armenia,1987,39.94,6.28
Armenia,1988,47.72,7.05
Armenia,1989,46.32,6.9
Armenia,1990,51.36,7.4
Armenia,1991,49.99,6.01
Armenia,1992,45.04,7.44
Armenia,1993,40.77,6.69
Armenia,1994,36.68,5.89
Armenia,1995,37.88,4.41
Armenia,1996,38.72,4.45
Armenia,1997,40.69,4.7
Armenia,1998,38.05,5.43
Armenia,1999,41,4.98
Armenia,2000,40.77,6.01
Armenia,2001,42.02,5.88
Armenia,2002,48.19,6.74
Armenia,2003,49.22,6.63
Armenia,2006,63.47,9.71
Armenia,2007,63.12,8.54
Armenia,2008,64.3,10.35
Armenia,2009,65.75,11.09
Armenia,2010,62.31,8.81
Armenia,2011,61.25,9.41
Armenia,2012,56.1,8.92
Armenia,2013,52.58,8.18
Armenia,2014,57.37,7.99
Armenia,2015,59.03,9.16
Armenia,2016,56.99,7.71
Armenia,2017,51.12,9.04
Armenia,2018,48.05,7.31
Armenia,2019,54.56,9.32
Australia,1950,14.87,3.11
Australia,1951,15.9,3.38
Australia,1952,18.77,3.41
Australia,1953,19.59,4.21
Australia,1954,20.6,3.36
Australia,1955,22.6,3.31
Australia,1956,23.91,3.87
Australia,1957,26.07,3.57
Australia,1958,25.98,3.67
Australia,1959,28.61,3.7
Australia,1960,29.56,3.87
Australia,1961,32.45,4
Australia,1962,34.74,4.33
Australia,1963,35.97,4.39
Australia,1964,38.51,4.94
Australia,1965,39.41,4.74
Australia,1966,41.74,5.02
Australia,1967,43.59,5.74
Australia,1968,45,5.74
Australia,1969,46.75,5.66
Australia,1970,47.79,7.18
Australia,1971,49.28,7.53
Australia,1972,50.06,7.13
Australia,1973,51.24,7.82
Australia,1974,53.83,7.69
Australia,1975,52.37,7.85
Australia,1976,53.83,8.58
