"","Country","Year","male_death_rate","female_death_rate"
"12","Albania",2000,39.09,8.5
"13","Albania",2001,30.61,6.68
"14","Albania",2002,34,9.25
"15","Albania",2003,36.8,9.51
"16","Albania",2004,32.13,8.95
"17","Albania",2005,28.65,6.38
"18","Albania",2006,28.07,7.28
"19","Albania",2007,25.83,5.45
"20","Albania",2008,29.83,6.55
"21","Albania",2009,27.84,6.85
"22","Albania",2010,19.26,0.51
"52","Antigua and Barbuda",2000,7.59,6.43
"53","Antigua and Barbuda",2001,2.91,2.96
"54","Antigua and Barbuda",2002,0,2.97
"55","Antigua and Barbuda",2003,14.02,2.18
"56","Antigua and Barbuda",2004,3.57,3.11
"57","Antigua and Barbuda",2005,8.77,2.79
"58","Antigua and Barbuda",2006,8.19,2.52
"59","Antigua and Barbuda",2007,11.28,6.59
"60","Antigua and Barbuda",2008,5.05,4.58
"61","Antigua and Barbuda",2009,23.53,3.85
"62","Antigua and Barbuda",2012,18.12,2.2
"63","Antigua and Barbuda",2013,4.64,2.23
"64","Antigua and Barbuda",2014,1.89,4.11
"65","Antigua and Barbuda",2015,4.36,0
"66","Antigua and Barbuda",2016,16.83,1.91
"67","Antigua and Barbuda",2017,8.37,1.93
"96","Argentina",2000,39.49,7.66
"97","Argentina",2001,36.77,7.89
"98","Argentina",2002,36.11,8.04
"99","Argentina",2003,36.06,8.25
"100","Argentina",2004,35.18,8.71
"101","Argentina",2005,34.58,8.71
"102","Argentina",2006,35.04,9.1
"103","Argentina",2007,33.99,9.1
"104","Argentina",2008,33.33,9.33
"105","Argentina",2009,32.48,9.49
"106","Argentina",2010,31.72,9.59
"107","Argentina",2011,31.57,10.04
"108","Argentina",2012,30.61,9.99
"109","Argentina",2013,29.42,10.43
"110","Argentina",2014,28.71,10.62
"111","Argentina",2015,29.57,10.69
"112","Argentina",2016,27.84,10.5
"113","Argentina",2017,27.18,10.48
"114","Argentina",2018,25.88,10.11
"115","Argentina",2019,24.76,10.4
"133","Armenia",2000,40.77,6.01
"134","Armenia",2001,42.02,5.88
"135","Armenia",2002,48.19,6.74
"136","Armenia",2003,49.22,6.63
"137","Armenia",2006,63.47,9.71
"138","Armenia",2007,63.12,8.54
"139","Armenia",2008,64.3,10.35
"140","Armenia",2009,65.75,11.09
"141","Armenia",2010,62.31,8.81
"142","Armenia",2011,61.25,9.41
"143","Armenia",2012,56.1,8.92
"144","Armenia",2013,52.58,8.18
"145","Armenia",2014,57.37,7.99
"146","Armenia",2015,59.03,9.16
"147","Armenia",2016,56.99,7.71
"148","Armenia",2017,51.12,9.04
"149","Armenia",2018,48.05,7.31
"150","Armenia",2019,54.56,9.32
"201","Australia",2000,36.98,15.79
"202","Australia",2001,36.33,15.88
"203","Australia",2002,35.51,16.34
"204","Australia",2003,33,15.52
"205","Australia",2004,33.92,15.49
"206","Australia",2006,32.46,16.22
"207","Australia",2007,30.96,16.6
"208","Australia",2008,31.88,16.12
"209","Australia",2009,29.32,16.36
"210","Australia",2010,29.39,16.61
"211","Australia",2011,28.99,16.36
"212","Australia",2012,27.54,16.27
"213","Australia",2013,27.29,15.64
"214","Australia",2014,26.27,15.72
"215","Australia",2015,25.8,16.26
"216","Australia",2016,25.02,15.31
"217","Australia",2017,23.71,14.56
"218","Australia",2018,23.6,15.24
"219","Australia",2019,23.59,14.89
"220","Australia",2020,20.89,14.51
"266","Austria",2000,42.13,13.1
"267","Austria",2001,40.82,12.12
"268","Austria",2002,42.02,13.41
"269","Austria",2003,40.04,12.74
"270","Austria",2004,39.06,13.67
"271","Austria",2005,38.21,12.95
"272","Austria",2006,37.83,13.1
"273","Austria",2007,35.41,14.74
"274","Austria",2008,36.83,14.75
"275","Austria",2009,35.96,14.43
"276","Austria",2010,35.25,14.98
"277","Austria",2011,33.43,15.37
"278","Austria",2012,32.92,15.82
"279","Austria",2013,33.11,14.87
"280","Austria",2014,32.69,16.63
"281","Austria",2015,31.2,16.54
"282","Austria",2016,30.9,16.86
"283","Austria",2017,29.96,15.82
"284","Austria",2018,30.36,16.31
"285","Austria",2019,27.79,17
"286","Austria",2020,28.04,16.04
"304","Azerbaijan",2000,21.9,4.21
"305","Azerbaijan",2001,22.95,4.39
"306","Azerbaijan",2002,23.17,5.11
"307","Azerbaijan",2003,25.56,4.89
"308","Azerbaijan",2004,23.82,5
"309","Azerbaijan",2007,13.08,2.98
