,Year,x
1,1990,30749.82
2,1991,30448.34
3,1992,30276.54
4,1993,30265.77
5,1994,30035.42
6,1995,29756.32
7,1996,29284.61
8,1997,28839.13
9,1998,28375.79
10,1999,27931.92
11,2000,27350.59
12,2001,26836.38
13,2002,26509.1
14,2003,26127.09
15,2004,25568
16,2005,25174
17,2006,24661.43
18,2007,24216.65
19,2008,23783.94
20,2009,23309.22
21,2010,22861.42
22,2011,22424.69
23,2012,22008.91
24,2013,21617.41
25,2014,21292.62
26,2015,21089.18
27,2016,20769.25
28,2017,20482.87
29,2018,20258.9
30,2019,20017.95
